anti-clockwise,counter-clockwise
articulated lorry,trailer truck
autumn,fall
autumn,autumn
barrister,attorney
bill,check
bill,bill
biscuit,cookie
block of flats,apartment building
bonnet,hat
bonnet,hood
boot,trunk
caravan,trailer
car park,parking lot
chemist's shop,pharmacy
chemist's shop,drugstore
chest of drawers,bureau
chest of drawers,chest of drawers
chest of drawers,dresser
chips,French fries
chips,fries
the cinema,the movies
clothes peg,clothespin
coffin,casket
coffin,coffin
crisps,potato chips
crossroads,crossroads
crossroads,intersection
cupboard,closet
cupboard,cupboard
diversion,detour
drawing-pin,thumbtack
drink-driving,drunk driving
driving licence,driver's license
dual carriageway,divided highway
dummy,pacifier
dustbin,trash can
dustbin,garbage can
dustman,garbage collector
engine,motor
engine,engine
estate agent,real estate agent
estate car,station wagon
film,movie
film,film
flat,studio
flat,flat
flat,apartment
flat tyre,flat tire
flyover,overpass
gearbox,transmission
gear-lever,gearshift
Girl Guide,Girl Scout
ground floor,ground floor
ground floor,first floor
handbag,shoulder bag
handbag,purse
handbag,handbag
high street,main street
holiday,vacation
hood,convertible top
jam,preserves
jam,jam
jug,pitcher
jug,jug
juggernaut,18-wheeler
lift,elevator
lorry,truck
lorry,semi
lorry,tractor
mad,"crazy, insane"
main road,highway
maize,corn
maths,math
motorbike,motorcycle
motorway,expressway
motorway,freeway
motorway,interstate highway
motorway,interstate
motorway,highway
nappy,diaper
naughts and crosses,tic-tack-toe
underpants,underpants
underpants,drawers
pants,underpants
pants,drawers
pavement,sidewalk
pet hate,pet peeve
petrol,gasoline
petrol,gas
The Plough,Big Dipper
pocket money,allowance
post,mail
postbox,mailbox
postcode,zip code
postman,letter carrier
postman,mail carrier
postman,mailman
pub,bar
public toilet,public bathroom
public toilet,rest room
railway,railroad
return,round-trip
reverse charge,collect call
ring road,freeway loop
ring road,highway loop
ring road,beltway
road surface,blacktop
road surface,pavement
roundabout,roundabout
roundabout,traffic circle
rubber,eraser
rubbish,trash
rubbish,garbage
rubbish-bin,trashcan
rubbish-bin,garbage can
saloon,sedan
shop,store
shop,shop
silencer,muffler
single,one-way
solicitor,attorney
solicitor,lawyer
spanner,wrench
sweets,candy
taxi,taxi cab
taxi,taxi
tea towel,dish towel
TV,TV
TV,television
telly,TV
telly,television
third-party insurance,liability insurance
timetable,schedule
tin,can
toll motorway,turnpike
toll motorway,toll road
trousers,trousers
torch,flashlight
trousers,pants
tube,subway
underground,subway
vest,undershirt
waistcoat,vest
wallet,billfold
wallet,wallet
wellington boots,rain boots
wellington boots,rubber boots
whisky,whiskey
whisky,whisky
windscreen,windshield
zip,zipper
